feature,shap_importance
Curricular units 2nd sem (approved),1.4820626498682232
Curricular units 2nd sem (enrolled),0.8223953632386909
Curricular units 1st sem (approved),0.7550673222994195
Tuition fees up to date,0.5337105734921074
Curricular units 2nd sem (grade),0.2646480039021511
Curricular units 2nd sem (credited),0.2544603480060403
Curricular units 1st sem (enrolled),0.2452609301553576
Curricular units 1st sem (grade),0.23546032960731106
Age at enrollment,0.21338858755922174
Scholarship holder,0.21163811860047121
Curricular units 1st sem (credited),0.20902381064031691
Mother's qualification,0.17535626227830128
Unemployment rate,0.15572945681412842
Gender,0.11624712374049839
Displaced,0.11174907997486035
Mother's occupation,0.10502011738365094
Previous qualification,0.09481906794772461
Curricular units 2nd sem (evaluations),0.0908036107452725
Course,0.08828582005473733
Debtor,0.08388521321437717
Curricular units 1st sem (without evaluations),0.06285916246115385
Application order,0.05702217282329244
Father's qualification,0.05570857210262608
International,0.045430303849357506
Marital status,0.038684393462166136
Daytime/evening attendance,0.035222705451048546
Admission grade,0.031228755889078346
Inflation rate,0.02695589895524887
Curricular units 2nd sem (without evaluations),0.020279492649961622
Previous qualification (grade),0.019254780668338273
Nacionality,0.01888374953611437
GDP,0.012509549297293938
Application mode,0.011060594908466802
Educational special needs,0.009354190426477199
Curricular units 1st sem (evaluations),0.003520157561987318
Father's occupation,0.0004917271060949875
