feature,mean_importance
Previous qualification (grade),-0.00026860389212922663
Displaced,-0.00010653571937278006
Curricular units 1st sem (credited),-4.787906689573962e-06
Gender,2.2204460492503132e-17
Application order,4.4408920985006264e-17
Educational special needs,4.4408920985006264e-17
Unemployment rate,6.661338147750939e-17
Daytime/evening attendance,6.661338147750939e-17
Father's qualification,6.661338147750939e-17
Curricular units 1st sem (evaluations),8.881784197001253e-17
International,8.881784197001253e-17
Marital status,8.881784197001253e-17
Nacionality,8.881784197001253e-17
Previous qualification,8.881784197001253e-17
Mother's qualification,1.1102230246251565e-16
Father's occupation,6.324390638133837e-05
Mother's occupation,0.0001495505796024088
Curricular units 2nd sem (without evaluations),0.00015346432262464127
Application mode,0.0002082597661537511
Curricular units 1st sem (without evaluations),0.00028649168476075905
Admission grade,0.00041586601792267255
Curricular units 2nd sem (enrolled),0.00044959623304526854
GDP,0.0007144360706971109
Inflation rate,0.000725361791453305
Debtor,0.0009330312662201079
Age at enrollment,0.000966357517193861
Curricular units 2nd sem (credited),0.0018964446169180914
Curricular units 1st sem (enrolled),0.002107238542678402
Curricular units 2nd sem (evaluations),0.0025737201392195485
Curricular units 1st sem (grade),0.0026309320341667995
Scholarship holder,0.005069474639725702
Curricular units 1st sem (approved),0.005446388382759515
Course,0.006233797133000351
Curricular units 2nd sem (approved),0.09638864145242236
Tuition fees up to date,0.10189176435038769
Curricular units 2nd sem (grade),0.11567671282876976
