feature,shap_importance
Curricular units 2nd sem (approved),1.3690779
Tuition fees up to date,0.56192946
Curricular units 1st sem (approved),0.3409936
Course,0.29478645
Age at enrollment,0.23635347
Curricular units 2nd sem (grade),0.22123796
Scholarship holder,0.17813599
Curricular units 2nd sem (evaluations),0.16565411
Father's occupation,0.16021264
Curricular units 2nd sem (enrolled),0.14552729
Unemployment rate,0.1218705
Curricular units 1st sem (enrolled),0.118405305
Curricular units 1st sem (grade),0.11697851
Admission grade,0.11486085
GDP,0.09966925
Previous qualification (grade),0.08915118
Curricular units 2nd sem (credited),0.08241622
Gender,0.0768462
Debtor,0.074919425
Mother's occupation,0.07093505
Application order,0.06497557
Displaced,0.06278891
Father's qualification,0.057430215
Curricular units 1st sem (evaluations),0.054847118
Application mode,0.054686647
Curricular units 1st sem (credited),0.043415096
Inflation rate,0.0411761
Mother's qualification,0.040017284
Previous qualification,0.020856312
Curricular units 2nd sem (without evaluations),0.013897464
Curricular units 1st sem (without evaluations),0.01343706
Marital status,0.012769271
Daytime/evening attendance,0.0068583167
Nacionality,0.0046509765
Educational special needs,0.0
International,0.0
