feature,mean_importance
Curricular units 1st sem (without evaluations),-0.036799316009588925
Mother's qualification,-0.03333569260729776
Previous qualification (grade),-0.031990625597084876
Curricular units 2nd sem (without evaluations),-0.018285462341202763
Previous qualification,-0.015706827182524075
Mother's occupation,-0.0063154594531488195
Daytime/evening attendance,-0.006053477322193523
Application order,-0.0026619541329317097
Gender,-0.0005907821329994122
Educational special needs,-0.00011453816613227197
International,0.0
Admission grade,0.0009997129907683756
Curricular units 1st sem (enrolled),0.001051082447666274
GDP,0.004757234942748223
Marital status,0.005794596786054385
Inflation rate,0.007432993694777101
Father's occupation,0.007992523368378657
Curricular units 1st sem (evaluations),0.008575968311901928
Debtor,0.012681292872499972
Curricular units 1st sem (approved),0.012935579676665388
Scholarship holder,0.014363999265402239
Curricular units 2nd sem (enrolled),0.017546044877254176
Unemployment rate,0.025803556245450564
Nacionality,0.026300039333839155
Curricular units 1st sem (grade),0.02804209800202182
Application mode,0.02828315308094138
Father's qualification,0.029598079645101992
Displaced,0.033490783488646314
Curricular units 2nd sem (credited),0.03689297719397868
Curricular units 1st sem (credited),0.038900703266878264
Age at enrollment,0.06652497828425397
Curricular units 2nd sem (evaluations),0.06706002437573819
Tuition fees up to date,0.07965541122818398
Curricular units 2nd sem (grade),0.10773399939431956
Course,0.12355726627090972
Curricular units 2nd sem (approved),0.1711766567555321
