feature,shap_importance
Curricular units 2nd sem (approved),0.21477564085561043
Tuition fees up to date,0.07151167226497566
Curricular units 2nd sem (grade),0.03356048874721222
Curricular units 1st sem (enrolled),0.013885179599053615
Course,0.012284350267710907
Curricular units 2nd sem (evaluations),0.007541795861690683
Age at enrollment,0.007208792648624834
Curricular units 2nd sem (enrolled),0.006827057708043386
Curricular units 1st sem (approved),0.0067760177119512216
Curricular units 2nd sem (credited),0.005374009576671644
Application mode,0.003619753170165319
Curricular units 1st sem (evaluations),0.002952185553819458
GDP,0.0026544636415569505
Admission grade,0.0026481797570094383
Curricular units 1st sem (grade),0.002258389423195393
Previous qualification (grade),0.0017256251781365456
Debtor,0.0012607182808599476
Scholarship holder,0.0012274368986404265
Unemployment rate,0.0011707594683820974
Mother's occupation,0.0010511388637505536
Inflation rate,0.0006473735896090235
Curricular units 1st sem (credited),0.0006462540606947648
Application order,0.0006461904273206867
Father's occupation,0.0005993357565577105
Curricular units 2nd sem (without evaluations),0.00040604743914560295
Gender,0.00022550188913897707
Curricular units 1st sem (without evaluations),0.00019054807967169084
Nacionality,9.430577947754109e-05
Previous qualification,6.295878314166875e-05
Mother's qualification,1.976846629557001e-05
Daytime/evening attendance,0.0
Educational special needs,0.0
Father's qualification,0.0
Displaced,0.0
International,0.0
Marital status,0.0
