feature,shap_importance
Curricular units 2nd sem (approved),1.3502292869661023
Tuition fees up to date,0.47771847066551965
Curricular units 1st sem (approved),0.2804574129009337
Course,0.1938005467294327
Age at enrollment,0.14534065423475684
Curricular units 2nd sem (grade),0.14208987998728245
Curricular units 2nd sem (evaluations),0.13675997610015292
Scholarship holder,0.11517456212931182
Curricular units 2nd sem (enrolled),0.10382257813672982
Curricular units 1st sem (enrolled),0.10201136198075249
Admission grade,0.06588001563740342
Curricular units 2nd sem (credited),0.06364975411205141
Curricular units 1st sem (grade),0.06140341923964476
Unemployment rate,0.0588235885740159
Previous qualification (grade),0.058587309488864446
Father's occupation,0.054401858925699556
Debtor,0.05233383129315035
Gender,0.051211554740841644
GDP,0.04120972849320609
Displaced,0.036422307037765805
Application mode,0.03565777500649759
Application order,0.03356318470894931
Inflation rate,0.032273020803591
Curricular units 1st sem (evaluations),0.03139061514757291
Father's qualification,0.03018001134770776
Mother's occupation,0.029971391917539045
Mother's qualification,0.027144323549549498
Previous qualification,0.02181875347188451
Curricular units 1st sem (without evaluations),0.018198441482771915
Curricular units 1st sem (credited),0.017482173820180125
Curricular units 2nd sem (without evaluations),0.011655822761889624
Daytime/evening attendance,0.00397225178701561
Marital status,0.0028571958596642867
Nacionality,0.000883168026480309
International,0.0
Educational special needs,0.0
